"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 22 22:38:08 BDT 2022","Mon Aug 22 22:38:11 BDT 2022","3005","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.PurchaseTestRunner","TestRunner.PurchaseTestRunner","doneWithShipping","User is able to checkout from the summary page","User checkout from product summary"
"passed","Mon Aug 22 22:38:03 BDT 2022","Mon Aug 22 22:38:07 BDT 2022","4145","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.PurchaseTestRunner","TestRunner.PurchaseTestRunner","checkShippingOption","User is able to checkout from the summary page","User checkout from product summary"
"passed","Mon Aug 22 22:36:58 BDT 2022","Mon Aug 22 22:37:15 BDT 2022","17509","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","doLoginWithInvalidCredPassword","User can not login with invalid password","User can not login in the website with invalid password"
"passed","Mon Aug 22 22:37:59 BDT 2022","Mon Aug 22 22:38:03 BDT 2022","3686","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.PurchaseTestRunner","TestRunner.PurchaseTestRunner","checkDeliveryAddress","User is able to checkout from the summary page","User checkout from product summary"
"passed","Mon Aug 22 22:37:56 BDT 2022","Mon Aug 22 22:37:59 BDT 2022","3396","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.PurchaseTestRunner","TestRunner.PurchaseTestRunner","checkProductSumary","User can see product summary","User can view product summary before checkout"
"passed","Mon Aug 22 22:37:37 BDT 2022","Mon Aug 22 22:37:47 BDT 2022","9166","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","doLoginWithValidCred","User can login with valid username and password","User can successfully login in the website with valid username and password"
"passed","Mon Aug 22 22:34:38 BDT 2022","Mon Aug 22 22:34:49 BDT 2022","10595","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.SignupTestRunner","TestRunner.SignupTestRunner","doSignupWithInvalidEmail","User can not sign up into the website using wrong email format","User can not signup into the website by providing invalid email"
"passed","Mon Aug 22 22:38:19 BDT 2022","Mon Aug 22 22:38:45 BDT 2022","25811","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.PurchaseTestRunner","TestRunner.PurchaseTestRunner","doneWithOrder","User is able to checkout from the summary page","User checkout from product summary"
"passed","Mon Aug 22 22:37:55 BDT 2022","Mon Aug 22 22:37:56 BDT 2022","1471","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.PurchaseTestRunner","TestRunner.PurchaseTestRunner","addToCart","User can add cart successfully","User added the product into card"
"passed","Mon Aug 22 22:37:47 BDT 2022","Mon Aug 22 22:37:50 BDT 2022","3482","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.PurchaseTestRunner","TestRunner.PurchaseTestRunner","searchProduct","User can search product","User can search product successfully"
"passed","Mon Aug 22 22:38:07 BDT 2022","Mon Aug 22 22:38:08 BDT 2022","206","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.PurchaseTestRunner","TestRunner.PurchaseTestRunner","acceptingTermsAndServices","User is able to checkout from the summary page","User checkout from product summary"
"passed","Mon Aug 22 22:38:11 BDT 2022","Mon Aug 22 22:38:19 BDT 2022","8221","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.PurchaseTestRunner","TestRunner.PurchaseTestRunner","doneWithPayment","User is able to checkout from the summary page","User checkout from product summary"
"passed","Mon Aug 22 22:37:15 BDT 2022","Mon Aug 22 22:37:31 BDT 2022","15666","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","doLoginWithInvalidCredUsername","User can not login with invalid username","User can not login in the website with invalid username"
"passed","Mon Aug 22 22:37:50 BDT 2022","Mon Aug 22 22:37:55 BDT 2022","4531","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.PurchaseTestRunner","TestRunner.PurchaseTestRunner","chooseProduct","User can choose product","User can choose product from the product list"
"passed","Mon Aug 22 22:37:31 BDT 2022","Mon Aug 22 22:37:37 BDT 2022","6483","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","doLoginWithInvalidCredBoth","User can not login with invalid username and password","User can not login in the website with invalid username and password"
"passed","Mon Aug 22 22:34:49 BDT 2022","Mon Aug 22 22:34:57 BDT 2022","8382","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.SignupTestRunner","TestRunner.SignupTestRunner","doSignupWithAlreadyUsedEmail","User can not sign up into the website using the previous signed up email","User can not signup into the website by providing an already used email"
"passed","Mon Aug 22 22:34:57 BDT 2022","Mon Aug 22 22:35:12 BDT 2022","14508","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.SignupTestRunner","TestRunner.SignupTestRunner","doSignupWithInvalidPhnno","User can not sign up into the website keeping the phone no field blank","User can not signup into the website keeping the phone no field blank"
"passed","Mon Aug 22 22:35:12 BDT 2022","Mon Aug 22 22:36:58 BDT 2022","105871","E-commerce portal automation","E-commerce portal sign up, login and purchase product","TestRunner.SignupTestRunner","TestRunner.SignupTestRunner","signup","User can sign up successfully","User can signup in the website by providing all necessary information"
